requirement_id	work_package	normative_source	implementation_surface	test_or_evidence	current_status
R4-CODEC-008	W1	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#71-codec-rules	schemas/codex-sovereign-direct-tools.schema.json	JSON parse and schema contract check	SOURCE_IMPLEMENTED
R4-CONN-001	W1	docs/protocols/owner-open-direct-agent-host-v1.md#3-connection-lifecycle	apps/trillionnium-owner-open-host/src/lib.rs::ConnectionEngine; src/main.rs	stdio_process_preserves_one_turn_lineage_and_reports_provider_hold; duplicate_json_members_fail_before_state_change	SOURCE_IMPLEMENTED
R4-CONN-002	W1	docs/protocols/owner-open-direct-agent-host-v1.md#8-flow-control	owner_open_agent_api/flow_control.rs	future pause/window/resume replay tests	SPEC_ONLY
R4-PROVIDER-001	W2	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#81-provider-forms	apps/trillionnium-owner-open-host/src/lib.rs::TurnProvider; UnavailableProvider	unavailable_provider_returns_an_honest_same_turn_terminal_result	SOURCE_IMPLEMENTED
R4-PROVIDER-002	W2	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#82-same-turn-correlation	apps/trillionnium-owner-open-host/src/lib.rs::ProviderEvent; ConnectionEngine::handle_turn_start	injected_provider_events_keep_one_turn_lineage; stdio_process_preserves_one_turn_lineage_and_reports_provider_hold	SOURCE_IMPLEMENTED
R4-SHELL-001	W3	docs/protocols/owner-open-direct-agent-host-v1.md#5-shellexec	owner-open process substrate	future command/argv byte-preservation test	SPEC_ONLY
R4-SHELL-002	W3	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#92-process-mechanics	owner-open process substrate	future cwd/env/stdin/PTY/process-group suite	SPEC_ONLY
R4-SHELL-003	W3	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#93-cancellation-and-races	owner-open process substrate	future timeout/cancel/exit race property tests	SPEC_ONLY
R4-SHELL-004	W3	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#94-acceptance	Android Root Linux owner-open Host	future physical same-turn shell evidence	NOT_STARTED
R4-ADB-001	W4	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#101-architecture-decision-required-before-implementation	docs/architecture future ADB topology ADR	future ADR review	SPEC_ONLY
R4-ADB-002	W4	docs/protocols/owner-open-direct-agent-host-v1.md#6-adbexec	owner-open ADB substrate	no_serial_host_port_or_privilege_is_injected_by_the_codec	SOURCE_IMPLEMENTED
R4-ADB-003	W4	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#103-acceptance	owner-open ADB substrate and physical device	future unauthorized/offline/reboot/USB suite	NOT_STARTED
R4-STORE-001	W5	docs/protocols/owner-open-direct-agent-host-v1.md#10-persistence-and-uncertainty	owner-open event store	future accepted/started/chunk/terminal crash matrix	SPEC_ONLY
R4-STORE-002	W5	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#112-duplicate-calls	owner-open call registry	future duplicate attach/conflict/restart tests	SPEC_ONLY
R4-JOB-001	W5	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#113-jobs	owner-open job registry	future attach/write/resize/kill/cursor tests	SPEC_ONLY
R4-ANDROID-001	W6	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#121-clean-integration-source	android-integration manifest and patch workflow	future zero-fuzz clean-room build evidence	NOT_STARTED
R4-ANDROID-002	W6	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#122-root-linux-lifecycle	Android init/rootfs/SELinux	future kill/restart/writable-overlay physical evidence	NOT_STARTED
R4-UI-001	W7	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#13-w7--aishell-owner-open-ui	packages/apps/TrillionniumAiShell owner-open source set	future UI stream/cancel/reconnect device tests	SPEC_ONLY
R4-EVIDENCE-001	W8	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#14-w8--qualification-and-evidence	docs/evidence future r4 packages	future evidence schema and publication tool	SPEC_ONLY
R4-SEC-001	W0/W1	docs/security/owner-open-threat-model.md#51-t1-unauthorized-local-peer-reaches-the-host	owner-open Host socket/stdio carrier	future peer/socket admission tests	SPEC_ONLY
R4-SEC-002	W3	docs/security/owner-open-threat-model.md#54-t4-child-process-escapes-lifecycle-ownership	owner-open process substrate	future descendant/fd/cgroup fault tests	SPEC_ONLY
R4-SEC-003	W4	docs/security/owner-open-threat-model.md#56-t6-adb-wrapper-changes-the-requested-operation	owner-open ADB substrate	future exact argv and raw output integration tests	SPEC_ONLY
R4-SEC-004	W5	docs/security/owner-open-threat-model.md#57-t7-disconnectrestart-causes-duplicate-effects	owner-open call/event registry	future disconnect/restart no-redispatch suite	SPEC_ONLY
R4-SEC-005	W6	docs/security/owner-open-threat-model.md#512-t12-emergency-stop-depends-on-compromised-components	Android init/recovery path	future wedged-provider/host/recovery device evidence	NOT_STARTED
R4-RELEASE-001	W9	docs/TRILLIONNIUM_OWNER_OPEN_R4_EXECUTION_PLAN.md#15-w9--optional-sealedpublic-profile	future sealed profile and release pipeline	future L6 evidence	NOT_STARTED
